
????

  ??  ????          ????        ??           PID
  UDP    0.0.0.0:57595          *:*                                    4672
  UDP    0.0.0.0:57596          *:*                                    4672
  UDP    0.0.0.0:61651          *:*                                    4156
  UDP    127.0.0.1:1900         *:*                                    35704
  UDP    127.0.0.1:7897         *:*                                    45292
  UDP    127.0.0.1:10010        *:*                                    19020
  UDP    127.0.0.1:10011        *:*                                    18196
  UDP    127.0.0.1:49414        127.0.0.1:49414                        5980
  UDP    127.0.0.1:51183        *:*                                    18248
  UDP    127.0.0.1:54112        *:*                                    35704
  UDP    127.0.0.1:56518        *:*                                    26236
  UDP    127.0.0.1:56519        *:*                                    26236
  UDP    192.168.0.100:137      *:*                                    4
  UDP    192.168.0.100:138      *:*                                    4
  UDP    192.168.0.100:1900     *:*                                    35704
  UDP    192.168.0.100:27036    *:*                                    21868
  UDP    192.168.0.100:28252    *:*                                    6152
  UDP    192.168.0.100:54111    *:*                                    35704
  UDP    192.168.112.1:67       *:*                                    5520
  UDP    192.168.112.1:68       *:*                                    5520
  UDP    192.168.112.1:137      *:*                                    4
  UDP    192.168.112.1:138      *:*                                    4
  UDP    192.168.112.1:1900     *:*                                    35704
  UDP    192.168.112.1:27036    *:*                                    21868
  UDP    192.168.112.1:28252    *:*                                    6152
  UDP    192.168.112.1:54109    *:*                                    35704
  UDP    192.168.166.167:137    *:*                                    4
  UDP    192.168.166.167:138    *:*                                    4
  UDP    192.168.166.167:1900   *:*                                    35704
  UDP    192.168.166.167:27036  *:*                                    21868
  UDP    192.168.166.167:28252  *:*                                    6152
  UDP    192.168.166.167:54110  *:*                                    35704
  UDP    [::]:53                *:*                                    45292
  UDP    [::]:5353              *:*                                    4156
  UDP    [::]:5353              *:*                                    22592
  UDP    [::]:5353              *:*                                    10036
  UDP    [::]:5353              *:*                                    10036
  UDP    [::]:5353              *:*                                    22592
  UDP    [::]:5353              *:*                                    22592
  UDP    [::]:5353              *:*                                    10036
  UDP    [::]:5355              *:*                                    4156
  UDP    [::]:50471             *:*                                    5520
  UDP    [::]:57595             *:*                                    4672
  UDP    [::]:61651             *:*                                    4156
  UDP    [::1]:1900             *:*                                    35704
  UDP    [::1]:54108            *:*                                    35704
  UDP    [fe80::acf9:900d:6e1:98bc%23]:1900  *:*                                    35704
  UDP    [fe80::acf9:900d:6e1:98bc%23]:54107  *:*                                    35704
  UDP    [fe80::b67b:f3cf:ed77:1048%25]:1900  *:*                                    35704
  UDP    [fe80::b67b:f3cf:ed77:1048%25]:54105  *:*                                    35704
  UDP    [fe80::ce26:b343:94d1:3e53%12]:1900  *:*                                    35704
  UDP    [fe80::ce26:b343:94d1:3e53%12]:54106  *:*                                    35704
